"SYMBOL","EX_DATE","DIVIDEND"
"BANKINDIA","2008-07-03","4"
"BATAINDIA","2010-05-06","3"
"BATAINDIA","2011-06-10","4"
"BATAINDIA","2008-05-29","2"
"BATAINDIA","2009-05-07","2.5"
"BEL","2009-01-28","6"
"BEL","2011-02-02","6"
"BEL","2009-09-14","12.7"
"BEL","2010-09-13","13.2"
"BEL","2006-09-01","10.6"
"BEL","2007-09-07","14"
"BEL","2008-09-12","14.7"
"BEL","2005-08-31","7.2"
"BEML","2010-08-09","10"
"BEML","2007-02-13","4"
"BEML","2008-03-04","5.5"
"BEML","2008-09-25","6.5"
"BEML","2006-09-18","7"
"BEML","2007-07-11","8"
"BEML","2005-09-19","8.5"
"BGRENERGY","2009-09-07","3"
"BGRENERGY","2010-09-16","7"
"BGRENERGY","2008-09-11","2"
"BHARATFORG","2005-07-20","2.5"
"BHARATFORG","2006-07-20","3"
"BHARATFORG","2008-07-31","3.5"
"BHARATFORG","2007-07-19","3.5"
"BHARTIARTL","2010-08-18","1"
"BHARTIARTL","2009-07-24","5"
"BHEL","2009-09-01","8"
"BHEL","2010-09-01","12.3"
"BHEL","2011-03-18","13.25"
"BHEL","2007-02-13","12.5"
"BHEL","2006-09-01","2"
"BHEL","2005-09-06","4.5"
"BHEL","2007-08-30","6"
"BHEL","2008-09-01","6.25"
"BHEL","2009-02-17","9"
"BHUSANSTL","2009-09-17","2.5"
"BHUSANSTL","2010-09-21","2.5"
"BHUSANSTL","2005-09-08","0.3"
"BHUSANSTL","2008-09-17","0.5"
"BHUSANSTL","2007-09-11","0.5"
"BHUSANSTL","2006-09-14","0.5"
"BIOCON","2011-05-05","1.5"
"BIOCON","2006-06-29","2.5"
"BIOCON","2009-07-08","3"
"BIOCON","2010-07-08","3.5"
"BIOCON","2008-07-03","5"
"BIOCON","2005-06-29","2"
"BIOCON","2007-06-28","3"
"BOMDYEING","2010-07-30","2.5"
"BOMDYEING","2008-08-08","3.5"
"BOMDYEING","2007-07-03","5"
"BOMDYEING","2006-07-04","5"
"BOSCHLTD","2007-05-14","4"
"BOSCHLTD","2006-04-28","12"
"BOSCHLTD","2009-05-07","25"
"BOSCHLTD","2008-05-14","25"
"BOSCHLTD","2010-05-13","30"
"BOSCHLTD","2011-05-12","40"
"BOSCHLTD","2011-06-23","85"
"BPCL","2009-08-26","7"
"BPCL","2010-09-08","14"
"BPCL","2007-09-04","10"
"BPCL","2006-11-15","2.5"
"BPCL","2008-09-10","4"
"BPCL","2007-01-15","6"
"BRFL","2006-08-17","1"
"BRFL","2007-08-16","1.25"
