"SYMBOL","PURPOSE","VALUE","EX_DATE"
"CUMMINSIND","AGM/DIVIDEND-130%","130.00%","2008-07-17"
"CUMMINSIND","INTERIM DIVIDEND - 200%  PURPOSE REVISED","200.00%","2009-02-03"
"DABUR","INTERIM DIVIDEND-RE.0.50 PER SHARE (PURPOSE REVISED)","0.5","2010-11-02"
"DABUR","ANNUAL GENERAL MEETING AND DIVIDEND - RE. 0.65 PER SHARE","0.65","2011-06-29"
"DABUR","INT DIV-RE.0.75 PER SHAREPURPOSE REVISED","0.75","2009-10-30"
"DABUR","AGM/DIV-RE.1/- PER SHARE","1","2009-06-29"
"DABUR","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.1.25 PER SHARE","1.25","2010-08-03"
"DABUR","AGM/DIVIDEND-100%","100.00%","2006-06-21"
"DABUR","INTERIM DIVIDEND-100%    PURPOSE REVISED","100.00%","2006-11-03"
"DABUR","AGM/DIVIDEND-150%","150.00%","2005-06-29"
"DABUR","AGM/DIVIDEND - 75%","75.00%","2008-06-19"
"DABUR","INTERIM DIVIDEND - 75%   PURPOSE REVISED","75.00%","2007-10-29"
"DABUR","INTERIM DIVIDEND - 75%   PURPOSE REVISED","75.00%","2009-02-02"
"DABUR","INTERIM DIVIDEND-75%     PURPOSE REVISED","75.00%","2007-03-16"
"DCHL","DIVIDEND-10%","10.00%","2005-09-23"
"DCHL","DIVIDEND-10%","10.00%","2006-08-04"
"DCHL","AGM/DIVIDEND - 100%","100.00%","2008-09-11"
"DCHL","INTERIM DIVIDEND - 100%  PURPOSE REVISED","100.00%","2008-12-22"
"DCHL","INTERIM DIVIDEND-50%","50.00%","2007-08-13"
"DCHL","INTERIM DIVIDEND-50%","50.00%","2007-02-01"
"DENABANK","AGM/DIV-RS.1.20 PER SHARE","1.2","2009-07-02"
"DENABANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2010-07-07"
"DENABANK","AGM/DIVIDEND - 10%","10.00%","2008-06-26"
"DENABANK","AGM/DIVIDEND-8%","8.00%","2007-06-14"
"DIVISLAB","AGM/DIV-RS.6/- PER SHARE","6","2009-06-15"
"DIVISLAB","ANNUAL GENERAL MEETING AND DIVIDEND RS.6/- PER SHARE","6","2010-07-02"
"DIVISLAB","ANNUAL GENERAL MEETING AND DIVIDEND RS.10/- PER SHARE","10","2011-06-16"
"DIVISLAB","AGM/DIVIDEND-100%","100.00%","2006-08-23"
"DIVISLAB","INTERIM DIVIDEND-100%    PURPOSE REVISED","100.00%","2007-03-23"
"DIVISLAB","AGM/DIVIDEND - 200%","200.00%","2008-06-26"
"DIVISLAB","AGM/DIVIDEND-80%","80.00%","2005-08-11"
"DLF","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2010-09-17"
"DLF","AGM/DIVIDEND - 100%","100.00%","2008-09-19"
"DLF","AGM/DIVIDEND-100%","100.00%","2007-09-18"
"DLF","INTERIM DIVIDEND-100%    PURPOSE REVISED","100.00%","2007-11-05"
"DRREDDY","AGM/DIV-RS.6.25 PER SHARE","6.25","2009-07-03"
"DRREDDY","ANNUAL GENERAL MEETING AND DIVIDEND RS.11.25 PER SHARE","11.25","2011-06-30"
"DRREDDY","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.11.25 PER SHARE","11.25","2010-07-02"
"DRREDDY","DIVIDEND-100%","100.00%","2006-07-07"
"DRREDDY","AGM/DIVIDEND - 75%","75.00%","2008-07-04"
"DRREDDY","DIVIDEND-75%","75.00%","2007-07-06"
"EDUCOMP","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.75 PER SHARE","1.75","2010-09-16"
"EDUCOMP","AGM/DIV-RS.2.50 PER SHARE","2.5","2009-09-17"
"EDUCOMP","AGM/DIVIDEND-15%","15.00%","2006-08-17"
"EDUCOMP","AGM/FINAL DIVIDEND-20%   BC START DATE REVISED","20.00%","2007-08-31"
"EDUCOMP","AGM/DIVIDEND - 25%","25.00%","2008-06-26"
"EKC","AGM/DIV-RS.1.20 PER SHARE","1.2","2009-07-16"
"EKC","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.1.20 PER SHARE","1.2","2010-07-15"
"EKC","AGM/DIVIDEND-35%","35.00%","2006-07-20"
"EKC","AGM/DIVIDEND-50%","50.00%","2007-06-28"
"EKC","AGM/DIVIDEND - 60%","60.00%","2008-07-24"
"ESCORTS","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER SHARE","1.5","2011-02-10"
"EXIDEIND","FINAL DIVIDEND-RE.0.40 PER SHARE","0.4","2010-07-02"
"EXIDEIND","INT DIV-RE.0.60 PER SHARE","0.6","2009-10-27"
"EXIDEIND","INTERIM DIVIDEND-RE.0.90 PER SHARE","0.9","2010-10-21"
"EXIDEIND","AGM/DIVIDEND - 20%","20.00%","2009-07-08"
"EXIDEIND","AGM/DIVIDEND-25%","25.00%","2005-07-21"
"EXIDEIND","AGM/DIVIDEND-30%","30.00%","2006-07-12"
"EXIDEIND","AGM/DIVIDEND-35%","35.00%","2007-07-11"
"EXIDEIND","AGM/DIVIDEND - 40%","40.00%","2008-07-16"
"EXIDEIND","INTERIM DIVIDEND - 40%","40.00%","2009-01-23"
"FEDERALBNK","ANNUAL GENERAL MEETING AND DIVIDEND RS.5/- PER SHARE","5","2010-09-02"
"FEDERALBNK","AGM/DIVIDEND-25%","25.00%","2005-09-08"
"FEDERALBNK","AGM/DIVIDEND-35%","35.00%","2006-09-07"
"FEDERALBNK","AGM/DIVIDEND - 40%","40.00%","2008-07-10"
"FEDERALBNK","AGM/DIVIDEND-40%","40.00%","2007-08-16"
"FINANTECH","AGM/DIV-RS.2/- PER SHARE","2","2009-09-17"
"FINANTECH","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.2/- PER SHARE","2","2010-09-22"
"FINANTECH","INTERIM DIVIDEND - RS 2 PER SHARE","2","2010-11-18"
"FINANTECH","AGM/FINAL DIVIDEND-100%","100.00%","2007-09-21"
"FINANTECH","2ND INTERIM DIVIDEND-100%","100.00%","2008-11-14"
"FINANTECH","3RD INTERIM DIVIDEND-100%","100.00%","2009-02-11"
"FINANTECH","4TH INTERIM DIVIDEND-180%PURPOSE REVISED","180.00%","2007-04-26"
"FINANTECH","AGM/DIVIDEND-20%","20.00%","2005-09-16"
"FINANTECH","AGM/DIVIDEND-260%","260.00%","2006-09-22"
"FINANTECH","2ND INTERIM DIVIDEND-350%","350.00%","2007-11-15"
"FINANTECH","INTERIM DIVIDEND-40%","40.00%","2006-11-16"
"FINANTECH","INTERIM DIVIDEND-40%","40.00%","2006-08-17"
"FINANTECH","3RD INTERIM DIVIDEND-40%","40.00%","2007-02-14"
"FINANTECH","AGM/DIV-INT-200%+FIN-200%","400.00%","2008-08-21"
"FINANTECH","3RD INTERIM DIVIDEND-400%","400.00%","2008-02-01"
"FINANTECH","1ST INTERIM DIVIDEND-50%","50.00%","2007-08-16"
"GAIL","INTERIM DIVIDEND-RS.2/- PER SHARE (PURPOSE REVISED)","2","2010-12-27"
"GAIL","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.5.50 PER SHARE (BC START DATE REVISED)","5.5","2010-09-02"
"GAIL","AGM/FINAL DIVIDEND-20%","20.00%","2007-08-16"
"GAIL","AGM/FINAL DIVIDEND-20%","20.00%","2006-07-28"
"GAIL","SPL INTERIM DIVIDEND-25% PURPOSE REVISED","25.00%","2007-03-09"
"GAIL","AGM/DIVIDEND-40%","40.00%","2005-09-14"
"GAIL","INTERIM DIVIDEND - 40%   PURPOSE REVISED","40.00%","2009-01-30"
"GAIL","INTERIM DIVIDEND - 40%   PURPOSE REVISED","40.00%","2007-12-19"
"GAIL","INTERIM DIVIDEND-55%     PURPOSE REVISED","55.00%","2006-12-27"
"GAIL","AGM/DIVIDEND - 60%","60.00%","2008-08-21"
"GESHIP","INT DIV-RS.2.50 PER SHAREPURPOSE REVISED","2.5","2009-02-10"
"GESHIP","INT DIV-RS.2.50 PER SHAREPURPOSE REVISED","2.5","2008-10-31"
"GESHIP","INTERIM DIV-RS.3.50 PR SHPURPOSE REVISED","3.5","2008-02-05"
"GESHIP","INTERIM DIVIDEND-RS.3.50 PER SHARE (PURPOSE REVISED)","3.5","2010-11-02"
"GESHIP","INT DIV-RS.4.00 PER SH   PURPOSE REVISED","4","2007-10-25"
"GESHIP","DIV-INT.RS.5+SPL RS2.50SHPURPOSE REVISED","7.5","2008-05-08"
"GESHIP","FINAL DIVIDEND RS 8 PER SHARE","8","2010-07-20"
"GESHIP","FINAL DIVIDEND - 45%","45.00%","2007-07-10"
"GLAXO","FIN DIV-RS14+SPL DIV-RS14","28","2006-03-24"
"GLAXO","DIV FIN-RS18+SPL-18 PR SH","36","2008-04-02"
"GLAXO","DIVIDEND-RS.40/- PER SHARE","40","2011-03-14"
"GLAXO","DIV FIN-RS.22 + SPL-RS.18","40","2009-03-18"
"GLAXO","DIV FIN-170% + SPL-140%  PURPOSE REVISED","310.00%","2007-03-14"
"GMDCLTD","AGM/DIV-RS.2/- PER SHARE","2","2009-09-17"
"GMDCLTD","DIVIDEND-RS.2.50 PER SHARE","2.5","2010-09-17"
"GMDCLTD","DIVIDEND - 100%","100.00%","2008-09-01"
"GMDCLTD","DIVIDEND-100%","100.00%","2007-09-14"
"GMDCLTD","DIVIDEND-50%","50.00%","2005-09-14"
"GMDCLTD","AGM/DIVIDEND-60%","60.00%","2006-12-13"
"GODREJIND","AGM/DIV-RE.1/- PER SH","1","2007-07-18"
"GODREJIND","AGM/DIV.RS.1.25/-PERSHARE","1.25","2009-07-20"
"GODREJIND","FINAL DIVIDEND-RS.1.50 PER SHARE","1.5","2010-07-16"
"GODREJIND","AGM/DIV-RS.5/- PER SH","5","2006-07-13"
"GODREJIND","AGM/DIVIDEND-125%","125.00%","2008-07-18"
"GRASIM","DIVIDEND-RS.16 PER SHARE","16","2005-06-29"
"GRASIM","INTERIM DIVIDEND-275%    PURPOSE REVISED","275.00%","2007-03-15"
"GSPL","DIVIDEND-RE.0.75 PR SHARE","0.75","2009-11-26"
"GSPL","ANNUAL GENERAL MEETING AND DIVIDEND RE.1/- PER SHARE","1","2010-09-13"
"GSPL","AGM/DIVIDEND-2.5%","2.50%","2006-09-15"
"GSPL","AGM/DIVIDEND - 5%","5.00%","2008-09-15"
"GSPL","AGM/DIVIDEND-5%","5.00%","2007-09-10"
"GTL","AGM/DIV -RS.2.50/- PER SH","2.5","2007-06-11"
"GTL","AGM/DIV-FN 20% + SPL-180%","100.00%","2006-09-26"
"GTL","DIVIDEND - 30%","30.00%","2008-05-30"
"GTOFFSHORE","AGM/DIV-RS.2.50 PER SHARE","2.5","2009-09-10"
"GTOFFSHORE","ANNUAL GENERAL MEETING AND DIVIDEND RS.2.50 PER SHARE","2.5","2010-07-29"
"GTOFFSHORE","AGM/DIV- RS.8/- PER SHARE","8","2008-06-25"
"GTOFFSHORE","INTERIM DIVIDEND-80%     PURPOSE REVISED","80.00%","2007-09-07"
"GVKPIL","INTERIM DIVIDEND-25%","25.00%","2006-11-06"
"HAVELLS","INT DIV-RS.1.25 PER SHARE","1.25","2010-02-09"
"HAVELLS","AGM/DIV-RS.2.5 PER SHARE","2.5","2009-08-12"
"HAVELLS","DIVIDEND-RS.2.50 PER SHARE","2.5","2010-09-06"
"HAVELLS","AGM/DIVIDEND-50%","50.00%","2007-06-20"
"HAVELLS","AGM/DIVIDEND-50%","50.00%","2008-06-26"
"HAVELLS","DIVIDEND-50%","50.00%","2005-06-24"
"HAVELLS","DIVIDEND-50%","50.00%","2006-06-05"
"HCC","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.40 PER SHARE","0.4","2011-05-30"
"HCC","AGM/DIV-RE.0.70 PER SH","0.7","2006-05-24"
"HCC","AGM/DIV-RE.0.75 PER SH","0.75","2007-05-25"
"HCC","AGM/DIV-RE0.80 PER SHARE","0.8","2009-05-27"
"HCC","AGM/DIVIDEND RE.0.80 PER SHARE","0.8","2010-05-28"
"HCC","AGM/DIV-RE.0.80 PER SHARE","0.8","2008-05-28"
"HCC","AGM/DIVIDEND-RS.6/ PER SHBC END DATE REVISED","6","2005-05-24"
"HCLTECH","AGM/DIV-RE.1/- PER SHARE","1","2009-12-02"
"HCLTECH","AGM/DIV-RS.2/- PER SH","2","2007-11-30"
"HCLTECH","2ND INTERIM DIVIDEND-RS.2/- PER SHARE (PURPOSE REVISED)","2","2011-01-24"
"HCLTECH","2ND INT DIV - RS 2 PER SH","2","2008-01-23"
"HCLTECH","3RD INTERIM DIVIDEND-RS.2/- PER SHARE (PURPOSE REVISED)","2","2011-04-25"
"HCLTECH","3RD INT DIV-RS.2/- PER SHRD REVISED/PURPOSE REVISED","2","2007-04-23"
"HCLTECH","ANNUAL GENERAL MEETING/FINAL DIVIDEND RE.1/- PER SHARE/INTERIM DIVIDEND RS.1.50 PER SHARE (PURPOSE REVISED)","2.5","2010-10-22"
"HCLTECH","AGM/DIV-RS.4/- PER SH","4","2006-12-04"
"HCLTECH","2ND INTERIM DIVIDEND-100%PURPOSE REVISED","100.00%","2009-01-28"
"HCLTECH","3RD INTERIM DIVIDEND-100%PURPOSE REVISED","100.00%","2008-04-21"
"HCLTECH","AGM/FIN DIV - 200%","200.00%","2005-12-06"
"HCLTECH","DIV FINAL 150%+INT 150%  BC START DATE REVISED","300.00%","2008-10-22"
"HDFC","AGM/ DIV.-RS.17/- PER SH.","17","2005-06-29"
"HDFC","AGM/DIV-RS.20/- PER SH","20","2006-06-30"
"HDFC","AGM/DIV - RS. 22 PER SH","22","2007-06-12"
"HDFC","AGM/DIV-RS.25 PER SHARE","25","2008-06-27"
"HDFC","AGM/DIV-RS.30/- PER SHARE","30","2009-07-06"
"HDFC","DIVIDEND RS 36 PER SHARE","36","2010-06-29"
"HDFCBANK","AGM/DIV-RS.5.50 PER SHARE","5.5","2006-05-11"
"HDFCBANK","AGM/DIV-RS.7/- PER SH","7","2007-05-17"
"HDFCBANK","DIV-RS.8.50 PER SHARE    PURPOSE REVISED","8.5","2008-04-29"
"HDFCBANK","AGM/DIV-RS.10/- PER SHARE","10","2009-06-22"
"HDFCBANK","AGM/DIV-RS.12/- PER SHARE","12","2010-06-10"
"HDFCBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.16.50 PER SHARE","16.5","2011-06-02"
"HDFCBANK","AGM/ DIVIDEND-45%        PURPOSE REVISED","45.00%","2005-05-26"
"HDIL","AGM/DIV -RS 3/- PER SHARE","3","2008-07-10"
"HDIL","INTERIM DIVIDEND-20%","20.00%","2007-08-16"
"HEROHONDA","AGM/DIV-RS.20/- PER SH","20","2006-08-14"
"HEROHONDA","AGM/DIV-RS.20/- PER SHARE","20","2009-08-28"
"HEROHONDA","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.30/- PER SHARE","30","2010-08-30"
"HEROHONDA","INTERIM DIVIDEND-RS.70/- PER SHARE (PURPOSE REVISED)","70","2011-04-20"
"HEROHONDA","SPL DIV-RS.80/- PER SHARE","80","2010-04-13"
"HEROHONDA","AGM/DIVIDEND-1000%","1000.00%","2005-07-20"
"HEROHONDA","AGM/DIVIDEND-850%","850.00%","2007-07-10"
"HEROHONDA","AGM/DIVIDEND - 950%","950.00%","2008-09-09"
"HEXAWARE","INTERIM DIVIDEND - RS.0.50 PER SHARE","0.5","2011-05-26"
"HEXAWARE","INTERIM DIVIDEND-RE.0.60 PER SHARE","0.6","2010-08-12"
"HEXAWARE","INT DIV-RE.0.60 PER SHARE","0.6","2009-08-13"
"HEXAWARE","DIVIDEND-RE.0.80 PR SHARE","0.8","2010-04-20"
"HEXAWARE","SPECIAL INTERIM DIVIDEND-RE.1/- PER SHARE","1","2011-01-20"
"HEXAWARE","DIVIDEND RS 1.40 PER SHARE / BONUS 1:1","1.4","2011-02-24"
"HEXAWARE","AGM/DIVIDEND - 25%","25.00%","2009-04-27"
"HEXAWARE","INTERIM DIVIDEND - 25%   PURPOSE REVISED","25.00%","2008-08-13"
"HEXAWARE","AGM/DIVIDEND-30%","30.00%","2006-06-22"
"HEXAWARE","AGM/FINAL DIVIDEND-40%","40.00%","2007-04-18"
"HEXAWARE","INTERIM DIVIDEND-40%","40.00%","2006-08-02"
"HEXAWARE","INTERIM DIVIDEND-40%","40.00%","2007-08-02"
"HINDALCO","DIVIDEND-RS.1.35 PER SHARE","1.35","2010-08-24"
"HINDALCO","DIVIDEND-RS.1.35 PR SHARE","1.35","2009-09-10"
"HINDALCO","DIVIDEND-RS.20 PER SHARE","20","2005-06-29"
"HINDALCO","INTERIM DIVIDEND-170%    PURPOSE REVISED","170.00%","2007-03-16"
"HINDALCO","RHS 3:7@PREM RS95/DIV185%","185.00%","2008-08-28"
"HINDOILEXP","INTERIM DIVIDEND-RE.0.50 PER SHARE","0.5","2010-08-23"
"HINDOILEXP","AGM/DIV-RE.1 PER SHARE   BC DATES REVISED","1","2008-08-11"
"HINDOILEXP","AGM/DIVIDEND-10%","10.00%","2005-09-02"
"HINDOILEXP","DIV10%/RGHT1:3@PREM RS.66","10.00%","2006-08-18"
"HINDPETRO","AGM/DIV-RS.5.25 PER SHARE","5.25","2009-08-13"
"HINDPETRO","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.12/- PER SHARE","12","2010-09-03"
"HINDPETRO","AGM/DIVIDEND-100%","100.00%","2005-09-02"
"HINDPETRO","AGM/FINAL DIVIDEND-120%","120.00%","2007-08-17"
"HINDPETRO","AGM/DIVIDEND - 30%","30.00%","2008-09-02"
"HINDPETRO","AGM/DIVIDEND-30%","30.00%","2006-08-18"
"HINDPETRO","INTERIM DIVIDEND-60%     PURPOSE REVISED","60.00%","2006-12-27"
"HINDUNILVR","DIVIDEND-RS.2.50 PER SH","2.5","2006-04-28"
"HINDUNILVR","AGM/DIVIDEND- RS.3 PER SH","3","2008-03-17"
"HINDUNILVR","AGM/FIN DIV-RS.3/- PER SH","3","2007-04-20"
"HINDUNILVR","INTERIM DIVIDEND-RS.3/- PER SHARE (PURPOSE REVISED)","3","2010-11-01"
"HINDUNILVR","PLTNM JUB DIV-RS.3 PER SHPURPOSE REVISED","3","2007-11-07"
"HINDUNILVR","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.3.50 PER SHARE","3.5","2010-07-08"
"HINDUNILVR","INT DIV-RS.3.50 PER SHAREPURPOSE REVISED","3.5","2008-08-04"
"HINDUNILVR","AGM/DIV-RS.4/- PER SHARE","4","2009-06-12"
"HINDZINC","ANNUAL GENERAL MEETING AND DIVIDEND RS.6/- PER SHARE","6","2010-07-22"
"HINDZINC","AGM/DIVIDEND-12.5%       PURPOSE REVISED","12.50%","2001-07-02"
"HINDZINC","AGM/DIVIDEND - 25%","25.00%","2008-08-12"
"HINDZINC","AGM/DIVIDEND-25%","25.00%","2007-09-12"
"HINDZINC","INTERIM DIVIDEND-25%","25.00%","2007-02-08"
"HINDZINC","INTERIM DIVIDEND-25%","25.00%","2007-11-08"
"HINDZINC","AGM/DIVIDEND-40%","40.00%","2009-07-29"
"HINDZINC","AGM/DIVIDEND-5%          PURPOSE REVISED","5.00%","2002-08-19"
"HOTELEELA","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.15 PER SHARE","0.15","2011-06-21"
"HOTELEELA","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.20 PER SHARE","0.2","2010-08-04"
"HOTELEELA","AGM/DIV-RE.0.40 PER SHARE","0.4","2009-08-14"
"HOTELEELA","INTERIM DIVIDEND-15%     PURPOSE REVISED","15.00%","2006-05-12"
"HOTELEELA","INTERIM DIVIDEND-15%     PURPOSE REVISED","15.00%","2007-03-20"
"HOTELEELA","AGM/DIVIDEND - 25%","25.00%","2008-08-07"
"HOTELEELA","DIVIDEND-5%","5.00%","2006-07-14"
"HOTELEELA","AGM/FINAL DIVIDEND-7.5%","7.50%","2007-08-03"
"IBREALEST","AGM/DIVIDEND - 675%","675.00%","2008-08-27"
"ICICIBANK","AGM/DIV-RS.8.50/- PER SH","8.5","2006-07-06"
"ICICIBANK","AGM/DIV-RS.11/- PER SHARE","11","2009-06-11"
"ICICIBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.12/- PER SHARE","12","2010-06-10"
"ICICIBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.14/- PER SHARE","14","2011-06-02"
"ICICIBANK","AGM/DIVIDEND -100%","100.00%","2007-06-14"
"ICICIBANK","AGM/DIVIDEND - 110%","110.00%","2008-07-10"
"ICICIBANK","AGM/DIVIDEND-85%","85.00%","2005-08-04"
"IDBI","DIVIDEND-RS.1.50 PER SH","1.5","2007-06-14"
"IDBI","AGM/DIV-RS.2 PER SHARE","2","2008-07-16"
"IDBI","AGM/DIVIDEND - 25%","25.00%","2009-07-09"
"IDBI","AGM/DIVIDEND-7.5%","7.50%","2005-08-11"
"IDFC","AGM/DIV-RE.1/- PER SH","1","2007-06-13"
"IDFC","AGM/DIV-RE.1.20 PER SHARE","1.2","2009-07-07"
"IDFC","AGM/DIV-RE.1.20 PER SHARE","1.2","2008-07-10"
"IDFC","DIVIDEND-RS.1.50 PER SHARE","1.5","2010-06-17"
"IDFC","AGM/DIVIDEND-10%","10.00%","2006-07-19"
"IFCI","AGM/DIV-RE.0.80 PER SHARE","0.8","2009-09-03"
"IFCI","ANNUAL GENERAL MEETING AND DIVIDEND RE.1/- PER SHARE","1","2010-09-06"
"IGL","AGM/DIV-RS.4/- PER SHARE","4","2009-07-20"
"IGL","ANNUAL GENERAL MEETING AND DIVIDEND RS.4.50 PER SHARE","4.5","2010-08-17"
"IGL","AGM/DIVIDEND-20%","20.00%","2005-09-02"
"IGL","AGM/DIVIDEND-25%","25.00%","2006-09-04"
"IGL","AGM/DIVIDEND-30%","30.00%","2007-09-04"
"IGL","AGM/DIVIDEND - 40%","40.00%","2008-07-14"
"INDHOTEL","DIVIDEND-RE.1.20 PR SHARE","1.2","2009-07-17"
"INDHOTEL","DIVIDEND-100%","100.00%","2005-07-05"
"INDHOTEL","DIVIDEND-130%","130.00%","2006-07-14"
"INDHOTEL","DIVIDEND-160%","160.00%","2007-07-18"
"INDHOTEL","INTERIM DIVIDEND - 190%  PURPOSE REVISED","190.00%","2008-04-22"
"INDIACEM","AGM/DIV-RS.2/- PER SHARE","2","2009-07-31"
"INDIACEM","AGM/DIVIDEND-10%","10.00%","2007-09-14"
"INDIACEM","AGM/DIVIDEND - 20%","20.00%","2008-08-14"
"INDIAINFO","AGM/DIV-RE.1/- PER SH","1","2006-07-19"
"INDIAINFO","INT DIV-RS.1.20 PER SHAREPURPOSE REVISED","1.2","2009-08-17"
"INDIAINFO","2ND INT DIV-RS.1.80 PR SHPURPOSE REVISED","1.8","2010-01-25"
"INDIAINFO","INT DIV-RS.2.80 PER SHAREPURPOSE REVISED","2.8","2009-01-29"
"INDIAINFO","INTERIM DIVIDEND RS 3 PER SHARE (PURPOSE REVISED)","3","2011-03-07"
"INDIAINFO","AGM/DIV-RS.6 PER SHARE","6","2008-06-26"
"INDIAINFO","INTERIM DIVIDEND-30%     PURPOSE REVISED","30.00%","2007-03-22"
"INDIANB","INT DIV-RS.2.50 PER SHARE","2.5","2010-03-04"
"INDIANB","AGM/DIV-RS.3/- PER SHARE","3","2009-06-18"
"INDIANB","ANNUAL GENERAL MEETING AND DIVIDEND RS.7.50 PER SHARE","7.5","2011-05-30"
"INDIANB","ELEC. OF DIR/AGM/DIV-40% PURPOSE REVISED","0.40%","2008-05-22"
"INDIANB","INTERIM DIVIDEND - 20%","20.00%","2009-03-09"
"INDIANB","AGM/DIV FIN-20% + SPL-10%","30.00%","2007-06-15"
"INDUSINDBK","AGM/DIV-RS.1.20 PER SHARE","1.2","2009-06-22"
"INDUSINDBK","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.80 PER SHARE","1.8","2010-06-17"
"INDUSINDBK","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2011-06-30"
"INDUSINDBK","AGM/DIVIDEND-18%","18.00%","2005-08-18"
"INDUSINDBK","AGM/DIVIDEND - 6%        BC DATES REVISED","6.00%","2008-09-04"
"INDUSINDBK","AGM/DIVIDEND-6%          PURPOSE REVISED","6.00%","2007-08-31"
"IOB","DIVIDEND-RS.3.50 PR SHARE","3.5","2010-05-26"
"IOB","AGM/DIV-RS.4.50 PER SHARE","4.5","2009-05-21"
"IOB","DIVIDEND-10%","10.00%","2005-05-12"
"IOB","DIVIDEND-26%","26.00%","2006-05-11"
"IOB","AGM/DIVIDEND-30%","30.00%","2007-05-07"
"IOB","AGM/DIVIDEND - 35%       PURPOSE REVISED","35.00%","2008-05-05"
"IOC","DIVIDEND-RS.7.50 PR SHARE","7.5","2009-09-02"
"IOC","ANNUAL GENERAL MEETING AND DIVIDEND RS.13/- PER SHARE","13","2010-09-08"
"IOC","AGM/DIVIDEND-100%","100.00%","2005-09-08"
"IOC","AGM/FINAL DIVIDEND-125%","125.00%","2006-09-07"
"IOC","AGM/FINAL DIVIDEND-130%","130.00%","2007-09-10"
"IOC","AGM/DIVIDEND - 55%","55.00%","2008-09-09"
"IOC","INTERIM DIVIDEND - 60%","60.00%","2006-12-26"
"IRB","DIVIDEND-RE.0.50 PR SHARE","0.5","2009-08-27"
"IRB","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER SHARE","1.5","2010-09-21"
"IRB","INTERIM DIVIDEND - 10%   PURPOSE REVISED","10.00%","2009-02-12"
"ITC","AGM/DIV-RS.2.65/- PER SH","2.65","2006-07-10"
"ITC","AGM/DIV-RS.3.10 PER SH","3.1","2007-07-16"
"ITC","AGM/DIV-RE. 3.50/- PR SHR","3.5","2008-07-16"
"ITC","AGM/DIV-RS.3.70 PER SHARE","3.7","2009-07-13"
"ITC","DIVIDEND FINAL RS 2.80 AND SPECIAL RS 1.65 PER SHARE","4.45","2011-06-10"
"ITC","FINAL DIVIDEND RS.4.50 PER SHARE AND SPECIAL CENTENARY DIVIDEND RS.5.50 PER SHARE","10","2010-06-09"
"ITC","AGM/DIV.RS.31/- PER SHARE","31","2005-07-18"
"IVRCLINFRA","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.80 PER SHARE","0.8","2010-09-08"
"IVRCLINFRA","AGM/DIV-RE.1/- PER SH","1","2007-08-31"
"IVRCLINFRA","AGM/DIV-RS.1.40 PER SHARE","1.4","2009-09-01"
"IVRCLINFRA","AGM/DIVIDEND-30%         BOOK CLOSURE DATES REVISED","30.00%","2005-09-22"
"IVRCLINFRA","AGM/DIVIDEND-50%","50.00%","2006-09-22"
"IVRCLINFRA","AGM/DIVIDEND - 70%","70.00%","2008-09-09"
"JETAIRWAYS","AGM/DIV-RS.3/- PER SHARE","3","2005-09-14"
"JETAIRWAYS","AGM/DIV-RS.6/- PER SH","6","2006-09-07"
"JETAIRWAYS","AGM/DIV-RS.6/- PER SH","6","2007-09-13"
"JINDALSAW","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.25 PER SHARE","1.25","2010-09-09"
"JINDALSAW","AGM/FIN DIV-RS.4/- PER SH","4","2005-12-23"
"JINDALSAW","AGM/DIV - RS.5 PER SHARE","5","2009-06-15"
"JINDALSAW","AGM/DIV-RS.5/- PER EQ SH","5","2006-12-22"
"JINDALSAW","AGM/DIV-RS6.25 PER SHARE","6.25","2008-03-19"
"JINDALSTEL","DIVIDEND-RS.1.25 PER SHARE","1.25","2010-09-13"
"JINDALSTEL","DIV-RS.5.50 PR SH/BON 5:1PURPOSE REVISED","5.5","2009-09-14"
"JINDALSTEL","INTERIM DIVIDEND-120%    PURPOSE REVISED","120.00%","2007-02-05"
"JINDALSTEL","DIVIDEND-200%","200.00%","2005-07-07"
