INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ALBK,26-May-2011,0,XX,187.55,191,187.15,189.2,189.2,614,1165.07,1944000,-158000,20-MAY-2011,
FUTSTK,ALBK,30-Jun-2011,0,XX,190.15,191.9,190,190.55,190.55,198,378.5,305000,156000,20-MAY-2011,
FUTSTK,ALBK,28-Jul-2011,0,XX,0,0,0,195,192.4,0,0,2000,0,20-MAY-2011,
FUTSTK,ALOKTEXT,26-May-2011,0,XX,24.7,25.05,24.5,24.95,24.95,1249,3096.85,63230000,-2850000,20-MAY-2011,
FUTSTK,ALOKTEXT,30-Jun-2011,0,XX,24.75,25.2,24.7,25.1,25.1,379,945.97,17510000,2170000,20-MAY-2011,
FUTSTK,ALOKTEXT,28-Jul-2011,0,XX,25.15,25.15,25,25,25.35,3,7.52,40000,-10000,20-MAY-2011,
FUTSTK,AMBUJACEM,26-May-2011,0,XX,131.95,134.8,130.15,130.75,130.75,1716,4535.19,13374000,-372000,20-MAY-2011,
FUTSTK,AMBUJACEM,30-Jun-2011,0,XX,131.1,134.05,129.85,130.15,130.15,278,733.14,4344000,172000,20-MAY-2011,
FUTSTK,AMBUJACEM,28-Jul-2011,0,XX,129.9,129.9,129.9,129.9,129.9,2,5.2,458000,0,20-MAY-2011,
FUTSTK,ANDHRABANK,26-May-2011,0,XX,137.25,139.2,137.05,137.65,137.65,298,822.25,2584000,-130000,20-MAY-2011,
FUTSTK,ANDHRABANK,30-Jun-2011,0,XX,132.4,134.6,132.4,133.2,133.2,95,253.67,558000,86000,20-MAY-2011,
FUTSTK,ANDHRABANK,28-Jul-2011,0,XX,0,0,0,139,140.2,0,0,6000,0,20-MAY-2011,
FUTSTK,APIL,26-May-2011,0,XX,554.9,571,554.9,564.25,564.25,530,1497.28,807500,-52500,20-MAY-2011,
FUTSTK,APIL,30-Jun-2011,0,XX,558,572.1,558,568.1,568.1,166,471.68,69500,43000,20-MAY-2011,
FUTSTK,APIL,28-Jul-2011,0,XX,566.15,566.15,566.15,566.15,573.25,1,2.83,500,500,20-MAY-2011,
FUTSTK,APOLLOTYRE,26-May-2011,0,XX,66.45,67.35,65.7,66.15,66.15,681,1813.2,14824000,316000,20-MAY-2011,
FUTSTK,APOLLOTYRE,30-Jun-2011,0,XX,67.05,67.6,66.1,66.55,66.55,203,543.16,1912000,432000,20-MAY-2011,
FUTSTK,APOLLOTYRE,28-Jul-2011,0,XX,0,0,0,67.9,67.05,0,0,4000,0,20-MAY-2011,
FUTSTK,AREVAT&D,26-May-2011,0,XX,256,260,253,253.75,253.75,100,256.9,708000,-7000,20-MAY-2011,
FUTSTK,AREVAT&D,30-Jun-2011,0,XX,259.3,262,255,255.45,255.45,41,105.95,102000,32000,20-MAY-2011,
FUTSTK,AREVAT&D,28-Jul-2011,0,XX,0,0,0,289.5,257.8,0,0,0,0,20-MAY-2011,
FUTSTK,ASHOKLEY,26-May-2011,0,XX,49.1,51.75,49.1,51.05,51.05,5263,10657.07,13124000,-2312000,20-MAY-2011,
FUTSTK,ASHOKLEY,30-Jun-2011,0,XX,50.6,51.95,49.75,51.35,51.35,638,1296.96,1908000,184000,20-MAY-2011,
FUTSTK,ASHOKLEY,28-Jul-2011,0,XX,48.5,50.25,48.5,49.95,49.95,25,49.53,352000,56000,20-MAY-2011,
FUTSTK,ASIANPAINT,26-May-2011,0,XX,2853.05,2920.15,2825,2914.2,2914.2,613,2220.32,165125,-3375,20-MAY-2011,
FUTSTK,ASIANPAINT,30-Jun-2011,0,XX,2846.2,2918.65,2846.2,2914.2,2914.2,187,680.61,22500,17750,20-MAY-2011,
